category,is_women_led,activity,governorate,wilayat,count
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,البريمي,البريمي,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الداخلية,إزكي,6
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الداخلية,الجبل الأخضر,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الداخلية,الحمراء,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الداخلية,بدبد,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الداخلية,بهلاء,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الداخلية,سمائل,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الداخلية,نزوى,36
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الظاهرة,عبري,8
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,الظاهرة,ينقل,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,جنوب الباطنة,الرستاق,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,جنوب الباطنة,بركاء,6
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,جنوب الباطنة,نخل,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,جنوب الباطنة,وادي المعاول,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,جنوب الشرقية,جعلان بنى بوحسن,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,جنوب الشرقية,جعلان بنى بوعلى,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,جنوب الشرقية,صور,14
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الباطنة,الخابورة,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الباطنة,السويق,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الباطنة,شناص,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الباطنة,صحار,10
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الباطنة,صحم,7
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الشرقية,ابراء,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الشرقية,المضيبي,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الشرقية,بدية,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,شمال الشرقية,سناو,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,ظفار,شليم وجزر الحلانيات,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,ظفار,صلالة,18
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,ظفار,طاقة,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,ظفار,مرباط,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,مسقط,السيب,32
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,مسقط,العامرات,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,مسقط,بوشر,25
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,مسقط,قريات,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,مسقط,مسقط,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للخناجر العمانية,مسقط,مطرح,17
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,البريمي,البريمي,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الداخلية,إزكي,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الداخلية,الجبل الأخضر,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الداخلية,بدبد,7
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الداخلية,بهلاء,19
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الداخلية,سمائل,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الداخلية,منح,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الداخلية,نزوى,6
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الظاهرة,ضنك,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الظاهرة,عبري,6
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,الوسطى,الجازر,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,جنوب الباطنة,الرستاق,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,جنوب الباطنة,المصنعة,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,جنوب الباطنة,بركاء,8
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,جنوب الباطنة,وادي المعاول,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,جنوب الشرقية,صور,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,جنوب الشرقية,مصيرة,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الباطنة,الخابورة,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الباطنة,السويق,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الباطنة,شناص,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الباطنة,صحار,8
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الباطنة,صحم,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الشرقية,ابراء,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الشرقية,دماء والطائيين,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الشرقية,سناو,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,شمال الشرقية,وادى بنى خالد,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,المزيونة,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,ثمريت,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,رخيوت,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,سدح,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,شليم وجزر الحلانيات,6
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,صلالة,36
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,طاقة,8
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,ظفار,مرباط,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسقط,السيب,32
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسقط,العامرات,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسقط,بوشر,24
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسقط,قريات,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسقط,مسقط,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسقط,مطرح,9
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسندم,خصب,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفخاريات والمشغولات اليدوية,مسندم,دبا البيعة,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,البريمي,البريمي,57
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,أدم,13
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,إزكي,42
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,الجبل الأخضر,10
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,الحمراء,7
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,بدبد,11
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,بهلاء,64
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,سمائل,31
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,منح,20
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الداخلية,نزوى,114
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الظاهرة,ضنك,9
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الظاهرة,عبري,107
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الظاهرة,ينقل,10
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الوسطى,الجازر,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الوسطى,الدقم,7
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الوسطى,محوت,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,الوسطى,هيماء,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الباطنة,الرستاق,41
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الباطنة,العوابي,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الباطنة,المصنعة,27
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الباطنة,بركاء,51
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الباطنة,نخل,10
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الباطنة,وادي المعاول,7
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الشرقية,الكامل والوافي,14
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الشرقية,جعلان بنى بوحسن,12
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الشرقية,جعلان بنى بوعلى,12
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الشرقية,صور,68
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,جنوب الشرقية,مصيرة,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الباطنة,الخابورة,19
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الباطنة,السويق,52
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الباطنة,شناص,33
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الباطنة,صحار,89
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الباطنة,صحم,58
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الباطنة,لوى,23
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الشرقية,ابراء,44
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الشرقية,القابل,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الشرقية,المضيبي,25
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الشرقية,بدية,17
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الشرقية,دماء والطائيين,5
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الشرقية,سناو,27
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,شمال الشرقية,وادى بنى خالد,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,ظفار,المزيونة,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,ظفار,ثمريت,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,ظفار,شليم وجزر الحلانيات,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,ظفار,صلالة,170
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,ظفار,طاقة,7
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,ظفار,مرباط,4
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسقط,السيب,360
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسقط,العامرات,48
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسقط,بوشر,233
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسقط,قريات,16
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسقط,مسقط,34
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسقط,مطرح,157
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسندم,بخا,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسندم,خصب,14
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسندم,دبا البيعة,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للفضيات والهدايا,مسندم,مدحا,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,البريمي,البريمي,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,الداخلية,سمائل,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,الداخلية,نزوى,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,الظاهرة,عبري,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,الوسطى,الجازر,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,الوسطى,الدقم,3
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,الوسطى,محوت,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,جنوب الباطنة,بركاء,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الباطنة,السويق,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الباطنة,شناص,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الباطنة,صحم,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الشرقية,ابراء,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الشرقية,القابل,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الشرقية,بدية,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الشرقية,دماء والطائيين,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,شمال الشرقية,سناو,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,ظفار,رخيوت,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,ظفار,شليم وجزر الحلانيات,30
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,ظفار,صلالة,7
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,ظفار,مرباط,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,مسقط,السيب,8
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,مسقط,العامرات,1
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,مسقط,بوشر,17
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,مسقط,مطرح,2
craft,False,البيع بالتجزئة في المتاجر المتخصصة للمنتجات الحرفية,مسندم,خصب,1
craft,False,صنع الخناجر العمانية,الداخلية,الحمراء,1
craft,False,صنع الخناجر العمانية,الداخلية,بهلاء,1
craft,False,صنع الخناجر العمانية,الداخلية,نزوى,1
craft,False,صنع الخناجر العمانية,الظاهرة,عبري,1
craft,False,صنع الخناجر العمانية,الوسطى,هيماء,2
craft,False,صنع الخناجر العمانية,جنوب الباطنة,بركاء,2
craft,False,صنع الخناجر العمانية,جنوب الباطنة,نخل,1
craft,False,صنع الخناجر العمانية,جنوب الشرقية,الكامل والوافي,1
craft,False,صنع الخناجر العمانية,جنوب الشرقية,جعلان بنى بوعلى,1
craft,False,صنع الخناجر العمانية,جنوب الشرقية,صور,5
craft,False,صنع الخناجر العمانية,شمال الباطنة,السويق,1
craft,False,صنع الخناجر العمانية,شمال الباطنة,صحار,1
craft,False,صنع الخناجر العمانية,شمال الباطنة,صحم,3
craft,False,صنع الخناجر العمانية,شمال الشرقية,المضيبي,1
craft,False,صنع الخناجر العمانية,شمال الشرقية,بدية,1
craft,False,صنع الخناجر العمانية,شمال الشرقية,سناو,2
craft,False,صنع الخناجر العمانية,ظفار,صلالة,7
craft,False,صنع الخناجر العمانية,مسقط,السيب,4
craft,False,صنع الخناجر العمانية,مسقط,بوشر,5
craft,False,صنع الخناجر العمانية,مسقط,مطرح,2
craft,False,صنع المنتجات الحرفية المشتقة من العظام,البريمي,البريمي,1
craft,False,صنع المنتجات الحرفية المشتقة من العظام,شمال الشرقية,بدية,3
craft,False,صنع المنتجات الحرفية المشتقة من العظام,ظفار,ثمريت,8
craft,False,صنع المنتجات الحرفية المشتقة من العظام,ظفار,شليم وجزر الحلانيات,1
craft,False,صنع المنتجات الحرفية المشتقة من العظام,ظفار,صلالة,2
craft,False,صنع المنتجات الحرفية المشتقة من العظام,ظفار,طاقة,1
craft,False,صنع المنتجات الحرفية المشتقة من العظام,مسندم,خصب,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,البريمي,البريمي,7
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الداخلية,أدم,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الداخلية,إزكي,3
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الداخلية,الجبل الأخضر,14
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الداخلية,بهلاء,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الداخلية,سمائل,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الداخلية,منح,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الداخلية,نزوى,5
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الظاهرة,ضنك,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الظاهرة,عبري,8
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الظاهرة,ينقل,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,الوسطى,الدقم,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الباطنة,الرستاق,3
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الباطنة,المصنعة,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الباطنة,بركاء,3
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الباطنة,نخل,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الباطنة,وادي المعاول,3
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الشرقية,الكامل والوافي,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الشرقية,جعلان بنى بوحسن,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الشرقية,جعلان بنى بوعلى,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,جنوب الشرقية,صور,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الباطنة,الخابورة,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الباطنة,السويق,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الباطنة,شناص,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الباطنة,صحار,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الباطنة,صحم,5
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الباطنة,لوى,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الشرقية,ابراء,3
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الشرقية,القابل,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الشرقية,المضيبي,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الشرقية,دماء والطائيين,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الشرقية,سناو,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,شمال الشرقية,وادى بنى خالد,1
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,ظفار,المزيونة,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,ظفار,ثمريت,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,ظفار,شليم وجزر الحلانيات,4
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,ظفار,صلالة,31
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,ظفار,طاقة,3
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,مسقط,السيب,21
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,مسقط,العامرات,6
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,مسقط,بوشر,12
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,مسقط,قريات,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,مسقط,مسقط,3
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,مسقط,مطرح,2
craft,False,صنع المنتجات الحرفية بتقطير الزهور والاعشاب,مسندم,خصب,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,البريمي,البريمي,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,الداخلية,الجبل الأخضر,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,الداخلية,نزوى,2
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,الظاهرة,ينقل,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,الوسطى,الجازر,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,جنوب الباطنة,بركاء,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,جنوب الباطنة,نخل,2
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,جنوب الباطنة,وادي المعاول,2
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,جنوب الشرقية,جعلان بنى بوعلى,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,جنوب الشرقية,صور,2
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,شمال الباطنة,السويق,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,شمال الباطنة,صحار,2
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,شمال الباطنة,لوى,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,شمال الشرقية,ابراء,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,شمال الشرقية,المضيبي,2
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,شمال الشرقية,سناو,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,شمال الشرقية,وادى بنى خالد,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,ثمريت,3
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,رخيوت,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,سدح,8
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,شليم وجزر الحلانيات,4
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,صلالة,115
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,طاقة,7
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,ظفار,مرباط,4
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,مسقط,السيب,9
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,مسقط,العامرات,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,مسقط,بوشر,6
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,مسقط,مسقط,1
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,مسقط,مطرح,2
craft,False,صنع المنتجات الحرفية لإنتاج ماء وزيت اللبان,مسندم,دبا البيعة,1
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,البريمي,البريمي,1
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,الوسطى,الجازر,4
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,الوسطى,محوت,3
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,جنوب الباطنة,المصنعة,2
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,جنوب الشرقية,الكامل والوافي,1
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,جنوب الشرقية,جعلان بنى بوعلى,2
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,جنوب الشرقية,مصيرة,6
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,شمال الباطنة,شناص,2
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,شمال الباطنة,صحار,1
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,شمال الباطنة,صحم,1
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,شمال الشرقية,بدية,1
craft,False,صنع المنتجات الحرفية لادوات الصيد التقليدية,ظفار,ثمريت,1
